Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LAGOS,10/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,11/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,12/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,13/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,14/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,15/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,16/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,17/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,18/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,19/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,20/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,21/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,22/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,23/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,24/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,25/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,26/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,27/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,28/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,29/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,30/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,31/12/1993 09:00,,0.0,,,Lagos Island
LAGOS,01/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,02/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,03/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,04/01/1994 09:00,,2.7,,,Lagos Island
LAGOS,05/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,06/01/1994 09:00,,15.8,,,Lagos Island
LAGOS,07/01/1994 09:00,,22.5,,,Lagos Island
LAGOS,08/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/01/1994 09:00,,2.3,,,Lagos Island
LAGOS,10/01/1994 09:00,,12.5,,,Lagos Island
LAGOS,11/01/1994 09:00,,1.5,,,Lagos Island
LAGOS,12/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,13/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,14/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,15/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,16/01/1994 09:00,,3.0,,,Lagos Island
LAGOS,17/01/1994 09:00,,9.7,,,Lagos Island
LAGOS,18/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,19/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,20/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,21/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,23/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,24/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,25/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,27/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,28/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,29/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,30/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,31/01/1994 09:00,,0.0,,,Lagos Island
LAGOS,01/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,02/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,03/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,04/02/1994 09:00,,20.0,,,Lagos Island
LAGOS,05/02/1994 09:00,,13.0,,,Lagos Island
LAGOS,06/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,07/02/1994 09:00,,2.3,,,Lagos Island
LAGOS,08/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,10/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,11/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,12/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,13/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,14/02/1994 09:00,,2.2,,,Lagos Island
LAGOS,15/02/1994 09:00,,3.4,,,Lagos Island
LAGOS,16/02/1994 09:00,,9.3,,,Lagos Island
LAGOS,17/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,18/02/1994 09:00,,1.5,,,Lagos Island
LAGOS,19/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,20/02/1994 09:00,,4.2,,,Lagos Island
LAGOS,21/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,23/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,24/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,25/02/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/02/1994 09:00,,7.8,,,Lagos Island
LAGOS,27/02/1994 09:00,,9.4,,,Lagos Island
LAGOS,28/02/1994 09:00,,19.3,,,Lagos Island
LAGOS,01/03/1994 09:00,,1.4,,,Lagos Island
LAGOS,02/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,03/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,04/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,05/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,06/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,07/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,08/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,10/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,11/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,12/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,13/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,14/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,15/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,16/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,17/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,18/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,19/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,20/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,21/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,23/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,24/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,25/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,27/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,28/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,29/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,30/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,31/03/1994 09:00,,0.0,,,Lagos Island
LAGOS,01/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,02/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,03/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,04/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,05/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,06/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,07/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,08/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,10/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,11/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,12/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,13/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,14/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,15/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,16/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,17/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,18/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,19/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,20/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,21/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,23/04/1994 09:00,,8.0,,,Lagos Island
LAGOS,24/04/1994 09:00,,6.2,,,Lagos Island
LAGOS,25/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,27/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,28/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,29/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,30/04/1994 09:00,,0.0,,,Lagos Island
LAGOS,01/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,02/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,03/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,04/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,05/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,06/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,07/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,08/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,10/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,11/05/1994 09:00,,1.8,,,Lagos Island
LAGOS,12/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,13/05/1994 09:00,,8.3,,,Lagos Island
LAGOS,14/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,15/05/1994 09:00,,7.0,,,Lagos Island
LAGOS,16/05/1994 09:00,,12.5,,,Lagos Island
LAGOS,17/05/1994 09:00,,2.9,,,Lagos Island
LAGOS,18/05/1994 09:00,,1.2,,,Lagos Island
LAGOS,19/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,20/05/1994 09:00,,2.0,,,Lagos Island
LAGOS,21/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/05/1994 09:00,,5.4,,,Lagos Island
LAGOS,23/05/1994 09:00,,9.0,,,Lagos Island
LAGOS,24/05/1994 09:00,,3.7,,,Lagos Island
LAGOS,25/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,27/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,28/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,29/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,30/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,31/05/1994 09:00,,0.0,,,Lagos Island
LAGOS,01/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,02/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,03/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,04/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,05/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,06/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,07/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,08/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,10/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,11/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,12/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,13/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,14/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,15/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,16/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,17/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,18/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,19/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,20/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,21/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,23/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,24/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,25/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,27/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,28/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,29/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,30/06/1994 09:00,,0.0,,,Lagos Island
LAGOS,01/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,02/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,03/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,04/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,05/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,06/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,07/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,08/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,10/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,11/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,12/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,13/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,14/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,15/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,16/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,17/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,18/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,19/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,20/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,21/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,23/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,24/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,25/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,27/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,28/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,29/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,30/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,31/07/1994 09:00,,0.0,,,Lagos Island
LAGOS,01/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,02/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,03/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,04/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,05/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,06/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,07/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,08/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,10/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,11/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,12/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,13/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,14/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,15/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,16/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,17/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,18/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,19/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,20/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,21/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,23/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,24/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,25/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,27/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,28/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,29/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,30/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,31/08/1994 09:00,,0.0,,,Lagos Island
LAGOS,01/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,02/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,03/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,04/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,05/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,06/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,07/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,08/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,10/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,11/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,12/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,13/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,14/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,15/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,16/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,17/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,18/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,19/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,20/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,21/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,23/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,24/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,25/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,27/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,28/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,29/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,30/09/1994 09:00,,0.0,,,Lagos Island
LAGOS,01/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,02/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,03/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,04/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,05/10/1994 09:00,,6.5,,,Lagos Island
LAGOS,06/10/1994 09:00,,2.8,,,Lagos Island
LAGOS,07/10/1994 09:00,,7.4,,,Lagos Island
LAGOS,08/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,10/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,11/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,12/10/1994 09:00,,3.8,,,Lagos Island
LAGOS,13/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,14/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,15/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,16/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,17/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,18/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,19/10/1994 09:00,,9.7,,,Lagos Island
LAGOS,20/10/1994 09:00,,1.2,,,Lagos Island
LAGOS,21/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,23/10/1994 09:00,,4.5,,,Lagos Island
LAGOS,24/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,25/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,27/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,28/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,29/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,30/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,31/10/1994 09:00,,0.0,,,Lagos Island
LAGOS,01/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,02/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,03/11/1994 09:00,,8.0,,,Lagos Island
LAGOS,04/11/1994 09:00,,7.3,,,Lagos Island
LAGOS,05/11/1994 09:00,,9.2,,,Lagos Island
LAGOS,06/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,07/11/1994 09:00,,5.8,,,Lagos Island
LAGOS,08/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/11/1994 09:00,,7.2,,,Lagos Island
LAGOS,10/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,11/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,12/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,13/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,14/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,15/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,16/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,17/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,18/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,19/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,20/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,21/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,23/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,24/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,25/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,27/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,28/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,29/11/1994 09:00,,0.9,,,Lagos Island
LAGOS,30/11/1994 09:00,,0.0,,,Lagos Island
LAGOS,01/12/1994 09:00,,0.5,,,Lagos Island
LAGOS,02/12/1994 09:00,,1.4,,,Lagos Island
LAGOS,03/12/1994 09:00,,0.8,,,Lagos Island
LAGOS,04/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,05/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,06/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,07/12/1994 09:00,,2.4,,,Lagos Island
LAGOS,08/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,09/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,10/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,11/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,12/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,13/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,14/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,15/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,16/12/1994 09:00,,3.4,,,Lagos Island
LAGOS,17/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,18/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,19/12/1994 09:00,,2.4,,,Lagos Island
LAGOS,20/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,21/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,22/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,23/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,24/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,25/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,26/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,27/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,28/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,29/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,30/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,31/12/1994 09:00,,0.0,,,Lagos Island
LAGOS,01/01/1995 09:00,,1.3,,,Lagos Island
LAGOS,02/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,03/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,04/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,05/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,06/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,07/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,08/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,09/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,10/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,11/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,12/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,13/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,14/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,15/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,16/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,17/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,18/01/1995 09:00,,22.5,,,Lagos Island
LAGOS,19/01/1995 09:00,,1.0,,,Lagos Island
LAGOS,20/01/1995 09:00,,0.8,,,Lagos Island
LAGOS,21/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,22/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,23/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,24/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,25/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,26/01/1995 09:00,,1.6,,,Lagos Island
LAGOS,27/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,28/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,29/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,30/01/1995 09:00,,0.7,,,Lagos Island
LAGOS,31/01/1995 09:00,,0.0,,,Lagos Island
LAGOS,01/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,02/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,03/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,04/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,05/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,06/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,07/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,08/02/1995 09:00,,0.8,,,Lagos Island
LAGOS,09/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,10/02/1995 09:00,,2.3,,,Lagos Island
LAGOS,11/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,12/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,13/02/1995 09:00,,51.3,,,Lagos Island
LAGOS,14/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,15/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,16/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,17/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,18/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,19/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,20/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,21/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,22/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,23/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,24/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,25/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,26/02/1995 09:00,,1.0,,,Lagos Island
LAGOS,27/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,28/02/1995 09:00,,0.0,,,Lagos Island
LAGOS,01/03/1995 09:00,,0.0,,,Lagos Island
LAGOS,02/03/1995 09:00,,0.0,,,Lagos Island
LAGOS,03/03/1995 09:00,,0.0,,,Lagos Island
